Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2019-03-01,2251,7796,5.62,32,987,1,0,0,2
2019-03-02,2345,5555,3.97,12,1440,0,0,0,0
2019-03-03,1766,162,0.12,1,1440,0,0,0,0
2019-03-04,1606,0,0,0,1440,0,0,0,0
2019-03-05,1605,0,0,0,1440,0,0,0,0
2019-03-06,1605,0,0,0,1440,0,0,0,0
2019-03-07,1604,0,0,0,1440,0,0,0,0
2019-03-08,1604,0,0,0,1440,0,0,0,0
2019-03-09,1604,0,0,0,1440,0,0,0,0
2019-03-10,1604,0,0,0,1440,0,0,0,0
2019-03-11,1603,0,0,0,1440,0,0,0,0
2019-03-12,1793,1315,0.94,7,1376,64,0,0,221
2019-03-13,1994,2711,1.94,11,695,151,0,0,486
2019-03-14,2002,2529,1.81,12,855,150,0,0,473
2019-03-15,2207,5228,3.73,20,847,219,0,0,754
2019-03-16,2217,3668,2.64,14,890,157,0,0,612
2019-03-17,1992,1645,1.17,9,1168,93,0,0,305
2019-03-18,1985,2663,1.9,15,854,134,0,0,446
2019-03-19,2304,8982,6.47,40,883,127,12,32,832
2019-03-20,2643,8833,5.8,35,742,182,24,51,1203
2019-03-21,2264,6308,4.48,12,806,131,3,36,746
2019-03-22,2149,6738,4.92,37,839,114,16,23,654
2019-03-23,2339,4590,3.28,14,775,275,0,0,904
2019-03-24,2047,2136,1.53,13,358,130,0,0,430
2019-03-25,2670,13146,9.41,46,715,220,16,51,1302
2019-03-26,2152,3814,2.7,12,809,184,7,1,668
2019-03-27,2014,4174,2.98,13,868,111,0,18,489
2019-03-28,2726,11706,8.74,36,807,165,16,63,1269
2019-03-29,2057,2855,2.04,12,921,162,0,0,517
2019-03-30,2565,10158,7.26,30,722,196,21,41,1164
2019-03-31,2381,6021,4.81,14,1191,220,18,11,958
2019-04-01,2385,5700,4.53,12,679,204,16,19,945
2019-04-02,2537,7297,5.77,12,794,238,16,10,1073
2019-04-03,2461,5044,4.19,16,844,155,19,37,968
2019-04-04,2671,11248,8.65,64,684,252,18,29,1291
2019-04-05,2521,10813,7.72,36,668,289,4,12,1187
2019-04-06,1889,1215,0.87,4,1186,84,0,0,268
2019-04-07,2189,3794,2.95,9,912,143,19,3,664
2019-04-08,2255,4283,3.29,15,802,135,29,17,758
2019-04-09,2415,9978,7.38,42,735,182,12,39,1001
2019-04-10,2206,4423,3.33,15,848,199,7,0,745
2019-04-11,2286,5128,3.87,17,666,188,17,6,821
2019-04-12,2598,10741,8.27,52,870,222,9,37,1191
2019-04-13,2314,8509,6.08,19,805,137,61,5,843
2019-04-14,2342,5107,3.8,13,1225,190,20,5,865
2019-04-15,2882,11001,8.76,35,654,256,33,52,1512
2019-04-16,2769,8613,6.36,31,708,334,17,6,1408
2019-04-17,2633,8241,5.88,36,645,241,30,13,1145
2019-04-18,2521,7374,5.53,22,663,224,31,10,1134
2019-04-19,2303,5886,4.15,14,819,155,4,28,813
2019-04-20,2666,12442,9.46,17,726,198,40,27,1238
2019-04-21,2495,6710,4.88,9,750,206,19,15,1041
2019-04-22,2403,8493,6.01,9,800,121,2,52,895
2019-04-23,1210,4,0,0,622,1,0,0,2
